TOPIC,DESCRIPTION,,Count,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Other,179,180,
Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 25 to 64 years in private households - 25% sample data,172,737745,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  No postsecondary certificate, diploma or degree",173,214245,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Education,,27425,
Major field of study - Classification of Instructional Programs (CIP) 2021,    13. Education,,27425,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Visual and performing arts, and communications technologies",,16520,
Major field of study - Classification of Instructional Programs (CIP) 2021,    10. Communications technologies/technicians and support services,,1595,
Major field of study - Classification of Instructional Programs (CIP) 2021,    50. Visual and performing arts,,14920,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Humanities,,23385,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    16. Indigenous and foreign languages, literatures, and linguistics",,2795,
Major field of study - Classification of Instructional Programs (CIP) 2021,    23. English language and literature/letters,,5440,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    24. Liberal arts and sciences, general studies and humanities",,8205,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30A Interdisciplinary humanities,174,340,
Major field of study - Classification of Instructional Programs (CIP) 2021,    38. Philosophy and religious studies,,1575,
Major field of study - Classification of Instructional Programs (CIP) 2021,    39. Theology and religious vocations,,1930,
Major field of study - Classification of Instructional Programs (CIP) 2021,    54. History,,2585,
Major field of study - Classification of Instructional Programs (CIP) 2021,    55. French language and literature/lettersCAN,,515,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Social and behavioural sciences and law,,60535,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    05. Area, ethnic, cultural, gender, and group studies",,870,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    09. Communication, journalism and related programs",,8695,
Major field of study - Classification of Instructional Programs (CIP) 2021,    19. Family and consumer sciences/human sciences,,6225,
Major field of study - Classification of Instructional Programs (CIP) 2021,    22. Legal professions and studies,,11170,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30B Interdisciplinary social and behavioural sciences,175,1180,
Major field of study - Classification of Instructional Programs (CIP) 2021,    42. Psychology,,9685,
Major field of study - Classification of Instructional Programs (CIP) 2021,    45. Social sciences,,22700,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Business, management and public administration",,124905,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.16 Accounting and computer science,,105,
Major field of study - Classification of Instructional Programs (CIP) 2021,    44. Public administration and social service professions,,5835,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    52. Business, management, marketing and related support services",,118970,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Physical and life sciences and technologies,,27230,
Major field of study - Classification of Instructional Programs (CIP) 2021,    26. Biological and biomedical sciences,,9575,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.01 Biological and physical sciences,,5600,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30C Other interdisciplinary physical and life sciences,176,465,
Major field of study - Classification of Instructional Programs (CIP) 2021,    40. Physical sciences,,10735,
Major field of study - Classification of Instructional Programs (CIP) 2021,    41. Science technologies/technicians,,860,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Mathematics, computer and information sciences",,28300,
Major field of study - Classification of Instructional Programs (CIP) 2021,    11. Computer and information sciences and support services,,24085,
Major field of study - Classification of Instructional Programs (CIP) 2021,    25. Library science,,900,
Major field of study - Classification of Instructional Programs (CIP) 2021,    27. Mathematics and statistics,,2765,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    30D Interdisciplinary mathematics, computer and information sciences",177,555,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Architecture, engineering, and related trades",,113170,
Major field of study - Classification of Instructional Programs (CIP) 2021,    04. Architecture and related services,,4610,
Major field of study - Classification of Instructional Programs (CIP) 2021,    14. Engineering,,51005,
Major field of study - Classification of Instructional Programs (CIP) 2021,    15. Engineering/engineering-related technologies/technicians,,24030,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.12 Historic preservation and conservation,,15,
Major field of study - Classification of Instructional Programs (CIP) 2021,    46. Construction trades,,15725,
Major field of study - Classification of Instructional Programs (CIP) 2021,    47. Mechanic and repair technologies/technicians,,11690,
Major field of study - Classification of Instructional Programs (CIP) 2021,    48. Precision production,,6095,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Agriculture, natural resources and conservation",,8820,
Major field of study - Classification of Instructional Programs (CIP) 2021,    01. Agricultural and veterinary sciences/services/operations and related fields,178,5000,
Major field of study - Classification of Instructional Programs (CIP) 2021,    03. Natural resources and conservation,,3820,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Health and related fields,,73600,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.37 Design for human health,,0,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    31. Parks, recreation, leisure, fitness, and kinesiology",,5910,
Major field of study - Classification of Instructional Programs (CIP) 2021,    51. Health professions and related programs,178,65330,
Major field of study - Classification of Instructional Programs (CIP) 2021,    60. Health professions residency/fellowship programs,,130,
Major field of study - Classification of Instructional Programs (CIP) 2021,    61. Medical residency/fellowship programs,,2240,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Personal, protective and transportation services",,19480,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    12. Culinary, entertainment, and personal services",,12230,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    28. Military science, leadership and operational art",,80,
Major field of study - Classification of Instructional Programs (CIP) 2021,    29. Military technologies and applied sciences,,50,
Major field of study - Classification of Instructional Programs (CIP) 2021,    43. Security and protective services,,3695,
Major field of study - Classification of Instructional Programs (CIP) 2021,    49. Transportation and materials moving,,3425,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Other,179,140,
Location of study compared with province or territory of residence,Total - Location of study compared with province or territory of residence for the population aged 25 to 64 years in private households - 25% sample data,180,737745,
Location of study compared with province or territory of residence,"  No postsecondary certificate, diploma or degree",,214245,
Location of study compared with province or territory of residence,"  Postsecondary certificate, diploma or degree",181,523510,
Location of study compared with province or territory of residence,    Location of study inside Canada,,372000,
Location of study compared with province or territory of residence,      Same as province or territory of residence,,267640,
Location of study compared with province or territory of residence,      Different than province or territory of residence,,104355,
Location of study compared with province or territory of residence,    Location of study outside Canada,182,151510,
Location of study compared with province or territory of residence,      Americas,,24755,
Location of study compared with province or territory of residence,        United States of America,,14510,
Location of study compared with province or territory of residence,        Mexico,,2085,
Location of study compared with province or territory of residence,        Cuba,,235,
Location of study compared with province or territory of residence,        Haiti,,75,
Location of study compared with province or territory of residence,        Jamaica,,400,
Location of study compared with province or territory of residence,        Brazil,,1555,
Location of study compared with province or territory of residence,        Colombia,,2015,
Location of study compared with province or territory of residence,        Peru,,365,
Location of study compared with province or territory of residence,        Venezuela,95,1780,
Location of study compared with province or territory of residence,        Other locations of study in Americas,,1735,
Location of study compared with province or territory of residence,      Europe,,25250,
Location of study compared with province or territory of residence,        Belgium,,170,
Location of study compared with province or territory of residence,        France,,1155,
Location of study compared with province or territory of residence,        Germany,,925,
Location of study compared with province or territory of residence,        Netherlands,,600,
Location of study compared with province or territory of residence,        Switzerland,,280,
Location of study compared with province or territory of residence,        Hungary,,330,
Location of study compared with province or territory of residence,        Moldova,183,570,
Location of study compared with province or territory of residence,        Poland,,1375,
Location of study compared with province or territory of residence,        Romania,,1725,
Location of study compared with province or territory of residence,        Russian Federation,,2065,
Location of study compared with province or territory of residence,        Ukraine,,1465,
Location of study compared with province or territory of residence,        Ireland,96,855,
Location of study compared with province or territory of residence,        United Kingdom,87,9355,
Location of study compared with province or territory of residence,        Bosnia and Herzegovina,,280,
Location of study compared with province or territory of residence,        Italy,,315,
Location of study compared with province or territory of residence,        Serbia,86,360,
Location of study compared with province or territory of residence,        Other locations of study in Europe,,3420,
Location of study compared with province or territory of residence,      Africa,,12240,
Location of study compared with province or territory of residence,        Nigeria,,4635,
Location of study compared with province or territory of residence,        Algeria,,330,
Location of study compared with province or territory of residence,        Morocco,,380,
Location of study compared with province or territory of residence,        Tunisia,,180,
Location of study compared with province or territory of residence,        Egypt,,1610,
Location of study compared with province or territory of residence,"        South Africa, Republic of",,1315,
Location of study compared with province or territory of residence,        Other locations of study in Africa,,3795,
Location of study compared with province or territory of residence,      Asia,,86450,
Location of study compared with province or territory of residence,        Iran,88,2105,
Location of study compared with province or territory of residence,        Iraq,,895,
Location of study compared with province or territory of residence,        Israel,,385,
Location of study compared with province or territory of residence,        Lebanon,,590,
Location of study compared with province or territory of residence,        Syria,89,730,
Location of study compared with province or territory of residence,        Turkey,,385,
Location of study compared with province or territory of residence,        China,90,10965,
Location of study compared with province or territory of residence,        Taiwan,,565,
Location of study compared with province or territory of residence,        Hong Kong,91,790,
Location of study compared with province or territory of residence,        Japan,,995,
Location of study compared with province or territory of residence,"        Korea, South",92,3715,
Location of study compared with province or territory of residence,        Philippines,,28045,
Location of study compared with province or territory of residence,        Viet Nam,,810,
Location of study compared with province or territory of residence,        Bangladesh,,1360,
Location of study compared with province or territory of residence,        Sri Lanka,,455,
Location of study compared with province or territory of residence,        India,,23485,
Location of study compared with province or territory of residence,        Pakistan,,6015,
Location of study compared with province or territory of residence,        Other locations of study in Asia,,4170,
Location of study compared with province or territory of residence,      Oceania,,2815,
Location of study compared with province or territory of residence,        Australia,,2225,
Location of study compared with province or territory of residence,        New Zealand,,480,
Location of study compared with province or territory of residence,        Other locations of study in Oceania,,105,
Labour force status,Total - Population aged 15 years and over by labour force status - 25% sample data,184,1056230,
Labour force status,  In the labour force,,730055,
Labour force status,    Employed,,638645,
Labour force status,    Unemployed,,91405,
Labour force status,  Not in the labour force,,326175,
Labour force status,Participation rate,,69.1,
Labour force status,Employment rate,,60.5,
Labour force status,Unemployment rate,,12.5,
Work activity during the reference year,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,185,1056230,
Work activity during the reference year,  Did not work,186,350820,
Work activity during the reference year,  Worked,,705410,
Work activity during the reference year,    Worked full year full time,187,370495,
Work activity during the reference year,    Worked part year and/or part time,188,334920,
Work activity during the reference year,    Average weeks worked in reference year,,40.6,
Class of worker including job permanency,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,189,730050,
Class of worker including job permanency,  Class of worker - not applicable,190,25210,
Class of worker including job permanency,  All classes of workers,191,704840,
Class of worker including job permanency,    Employee,,596075,
Class of worker including job permanency,      Permanent position,,498865,
Class of worker including job permanency,      Temporary position,,97210,
Class of worker including job permanency,        Fixed term (1 year or more),,33010,
Class of worker including job permanency,"        Casual, seasonal or short-term position (less than 1 year)",,64200,
Class of worker including job permanency,    Self-employed,192,108770,
Occupation - Broad category - National Occupational Classification (NOC) 2021,Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,193,730050,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  Occupation - not applicable,190,25210,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  All occupations,191,704840,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    0 Legislative and senior management occupations,,8910,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    1 Business, finance and administration occupations",,135315,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    2 Natural and applied sciences and related occupations,,83405,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    3 Health occupations,,58670,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    4 Occupations in education, law and social, community and government services",,77125,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    5 Occupations in art, culture, recreation and sport",,20330,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    6 Sales and service occupations,,175295,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    7 Trades, transport and equipment operators and related occupations",,115655,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    8 Natural resources, agriculture and related production occupations",,10185,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    9 Occupations in manufacturing and utilities,,19960,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,194,730050,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  Industry - not applicable,190,25210,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  All industries,191,704840,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    11 Agriculture, forestry, fishing and hunting",,2635,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    21 Mining, quarrying, and oil and gas extraction",,32410,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    22 Utilities,,8485,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    23 Construction,,58805,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    31-33 Manufacturing,,33130,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    41 Wholesale trade,,22295,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    44-45 Retail trade,,80115,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    48-49 Transportation and warehousing,,46840,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    51 Information and cultural industries,,12790,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    52 Finance and insurance,,26450,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    53 Real estate and rental and leasing,,14175,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    54 Professional, scientific and technical services",,83970,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    55 Management of companies and enterprises,,2240,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    56 Administrative and support, waste management and remediation services",,31495,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    61 Educational services,,46695,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    62 Health care and social assistance,,90910,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    71 Arts, entertainment and recreation",,14470,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    72 Accommodation and food services,,42785,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    81 Other services (except public administration),,29975,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    91 Public administration,,24185,
All languages used at work,"Total - All languages used at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",195,764085,
All languages used at work,  English,,720920,
All languages used at work,  French,,1020,
All languages used at work,  Non-official language,,6605,
All languages used at work,    Indigenous,39,10,
All languages used at work,    Non-Indigenous,,6600,
All languages used at work,  English and French,,6415,
All languages used at work,  English and non-official language(s),,27865,
All languages used at work,  French and non-official language(s),,20,
All languages used at work,"  English, French and non-official language(s)",,665,
All languages used at work,  Multiple non-official languages,,570,
Language used most often at work,"Total - Language used most often at work for the population aged 15 years and over who worked since January 1, 2020, in private households, 2021 Census - 25% sample data",196,764085,
Language used most often at work,  Single responses,,757765,
Language used most often at work,    Official languages,,745365,
Language used most often at work,      English,,743325,
Language used most often at work,      French,,2040,
Language used most often at work,    Non-official languages,,12400,
Language used most often at work,      Indigenous languages,39,10,
Language used most often at work,        Algonquian languages,,0,
Language used most often at work,          Blackfoot,,0,
Language used most often at work,          Cree-Innu languages,,0,
Language used most often at work,            Atikamekw,,0,
Language used most often at work,            Cree languages,,0,
Language used most often at work,              Ililimowin (Moose Cree),,0,
Language used most often at work,              Inu Ayimun (Southern East Cree),,0,
Language used most often at work,              Iyiyiw-Ayimiwin (Northern East Cree),,0,
Language used most often at work,              Nehinawewin (Swampy Cree),,0,
Language used most often at work,              Nehiyawewin (Plains Cree),,0,
Language used most often at work,              Nihithawiwin (Woods Cree),,0,
Language used most often at work,"              Cree, n.o.s.",,0,
Language used most often at work,            Innu (Montagnais),,0,
Language used most often at work,            Naskapi,,0,
Language used most often at work,          Eastern Algonquian languages,,0,
Language used most often at work,            Mi'kmaq,,0,
Language used most often at work,            Wolastoqewi (Malecite),,0,
Language used most often at work,          Ojibway-Potawatomi languages,,0,
Language used most often at work,            Anicinabemowin (Algonquin),,0,
Language used most often at work,            Oji-Cree,,0,
Language used most often at work,            Ojibway languages,,0,
Language used most often at work,              Anishinaabemowin (Chippewa),,0,
Language used most often at work,              Daawaamwin (Odawa),,0,
Language used most often at work,              Saulteau (Western Ojibway),,0,
Language used most often at work,"              Ojibway, n.o.s.",,0,
Language used most often at work,"          Algonquian languages, n.i.e.",,0,
Language used most often at work,        Athabaskan languages,,0,
Language used most often at work,          Northern Athabaskan languages,,0,
Language used most often at work,            Dakelh (Carrier),,0,
Language used most often at work,            Dane-zaa (Beaver),,0,
Language used most often at work,"            Dene, n.o.s.",,0,
Language used most often at work,            Gwich'in,,0,
Language used most often at work,            Slavey-Hare languages,,0,
Language used most often at work,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Language used most often at work,              Satuotine Yati (North Slavey),,0,
Language used most often at work,"              Slavey, n.o.s.",,0,
Language used most often at work,            Tahltan languages,,0,
Language used most often at work,            Tlicho (Dogrib),,0,
Language used most often at work,            Tse'khene (Sekani),,0,
Language used most often at work,            Tsilhqot'in (Chilcotin),,0,
Language used most often at work,            Tsuu T'ina (Sarsi),,0,
Language used most often at work,            Tutchone languages,,0,
Language used most often at work,              Northern Tutchone,,0,
Language used most often at work,              Southern Tutchone,,0,
Language used most often at work,"              Tutchone, n.o.s.",,0,
Language used most often at work,            Wetsuwet'en-Babine,,0,
Language used most often at work,          Tlingit,,0,
Language used most often at work,"          Athabaskan languages, n.i.e.",,0,
Language used most often at work,        Haida,,0,
Language used most often at work,        Inuktut (Inuit) languages,,0,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,
Language used most often at work,            Inuinnaqtun,,0,
Language used most often at work,            Inuvialuktun,,0,
Language used most often at work,          Inuktitut,,0,
Language used most often at work,"          Inuktut (Inuit) languages, n.i.e.",,0,
Language used most often at work,        Iroquoian languages,,0,
Language used most often at work,          Mohawk,,0,
Language used most often at work,          Oneida,,0,
Language used most often at work,"          Iroquoian languages, n.i.e.",,0,
Language used most often at work,        Ktunaxa (Kutenai),,0,
Language used most often at work,        Michif,,0,
Language used most often at work,        Salish languages,,0,
Language used most often at work,          Halkomelem,,0,
Language used most often at work,          Lillooet,,0,
Language used most often at work,          Ntlakapamux (Thompson),,0,
Language used most often at work,          Secwepemctsin (Shuswap),,0,
Language used most often at work,          Squamish,,0,
Language used most often at work,          Straits,,0,
Language used most often at work,          Syilx (Okanagan),,0,
Language used most often at work,"          Salish languages, n.i.e.",,0,
Language used most often at work,        Siouan languages,,10,
Language used most often at work,          Assiniboine,,0,
Language used most often at work,          Dakota,,0,
Language used most often at work,          Stoney,,10,
Language used most often at work,"          Siouan languages, n.i.e.",,0,
Language used most often at work,        Tsimshian languages,,0,
Language used most often at work,          Gitxsan (Gitksan),,0,
Language used most often at work,          Nisga'a,,0,
Language used most often at work,          Tsimshian,,0,
Language used most often at work,        Wakashan languages,,0,
Language used most often at work,          Haisla,,0,
Language used most often at work,          Heiltsuk,,0,
Language used most often at work,          Kwak'wala (Kwakiutl),,0,
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,
Language used most often at work,"          Wakashan languages, n.i.e.",,0,
Language used most often at work,"        Indigenous languages, n.i.e.",,0,
Language used most often at work,"        Indigenous languages, n.o.s.",,0,
Language used most often at work,      Non-Indigenous languages,,12390,
Language used most often at work,        Afro-Asiatic languages,,450,
Language used most often at work,          Berber languages,,0,
Language used most often at work,            Kabyle,,0,
Language used most often at work,            Tamazight,,0,
Language used most often at work,"            Berber languages, n.i.e.",,0,
Language used most often at work,          Chadic languages,,0,
Language used most often at work,          Coptic,,0,
Language used most often at work,          Cushitic languages,,15,
Language used most often at work,            Bilen,,0,
Language used most often at work,            Oromo,,10,
Language used most often at work,            Somali,,0,
Language used most often at work,"            Cushitic languages, n.i.e.",,0,
Language used most often at work,          Semitic languages,,430,
Language used most often at work,            Amharic,,35,
Language used most often at work,            Arabic,,315,
Language used most often at work,            Aramaic languages,,0,
Language used most often at work,              Assyrian Neo-Aramaic,,0,
Language used most often at work,              Chaldean Neo-Aramaic,,0,
Language used most often at work,"              Aramaic, n.o.s.",,0,
Language used most often at work,            Hebrew,,0,
Language used most often at work,            Tigrigna,,70,
Language used most often at work,"            Semitic languages, n.i.e.",,0,
Language used most often at work,        Austro-Asiatic languages,,800,
Language used most often at work,          Khmer (Cambodian),,10,
Language used most often at work,          Vietnamese,,780,
Language used most often at work,"          Austro-Asiatic languages, n.i.e.",,0,
Language used most often at work,        Austronesian languages,,535,
Language used most often at work,          Bikol,,0,
Language used most often at work,"          Bisaya, n.o.s.",,0,
Language used most often at work,          Cebuano,,0,
Language used most often at work,          Hiligaynon,,0,
Language used most often at work,          Ilocano,,55,
Language used most often at work,          Indonesian,,0,
Language used most often at work,          Kankanaey,,0,
Language used most often at work,          Malagasy languages,,0,
Language used most often at work,          Malay,,0,
Language used most often at work,"          Pampangan (Kapampangan, Pampango)",,0,
Language used most often at work,          Pangasinan,,0,
Language used most often at work,"          Tagalog (Pilipino, Filipino)",,480,
Language used most often at work,"          Austronesian languages, n.i.e.",,0,
Language used most often at work,        Creole languages,,0,
Language used most often at work,          Haitian Creole,,0,
Language used most often at work,          Jamaican English Creole,,0,
Language used most often at work,          Morisyen,,0,
Language used most often at work,"          Creole, n.o.s.",,0,
Language used most often at work,"          Creole languages, n.i.e.",,0,
Language used most often at work,        Dravidian languages,,30,
Language used most often at work,          Kannada,,0,
Language used most often at work,          Malayalam,,10,
Language used most often at work,          Tamil,,15,
Language used most often at work,          Telugu,,0,
Language used most often at work,"          Dravidian languages, n.i.e.",,0,
Language used most often at work,        Georgian,,0,
Language used most often at work,        Indo-European languages,,4915,
Language used most often at work,          Albanian,,0,
Language used most often at work,          Armenian,,0,
Language used most often at work,          Balto-Slavic languages,,425,
Language used most often at work,            Baltic languages,,0,
Language used most often at work,              Latvian,,0,
Language used most often at work,              Lithuanian,,0,
Language used most often at work,            Slavic languages,,425,
Language used most often at work,              Bulgarian,,10,
Language used most often at work,              Czech,,10,
Language used most often at work,              Macedonian,,0,
Language used most often at work,              Polish,,130,
Language used most often at work,              Russian,,175,
Language used most often at work,              Serbo-Croatian,,60,
Language used most often at work,                Bosnian,,25,
Language used most often at work,                Croatian,,0,
Language used most often at work,                Serbian,,25,
Language used most often at work,"                Serbo-Croatian, n.i.e.",,0,
Language used most often at work,              Slovak,,10,
Language used most often at work,              Slovene (Slovenian),,0,
Language used most often at work,              Ukrainian,,30,
Language used most often at work,"              Slavic languages, n.i.e.",,0,
Language used most often at work,          Celtic languages,,0,
Language used most often at work,            Scottish Gaelic,,0,
Language used most often at work,"            Celtic languages, n.i.e.",,0,
Language used most often at work,          Germanic languages,,95,
Language used most often at work,            Frisian,,0,
Language used most often at work,            High German languages,,70,
Language used most often at work,              German,,70,
Language used most often at work,              Pennsylvania German,,0,
Language used most often at work,              Swiss German,,0,
Language used most often at work,              Yiddish,,0,
Language used most often at work,            Low Saxon-Low Franconian languages,,15,
Language used most often at work,              Afrikaans,,0,
Language used most often at work,              Dutch,,0,
Language used most often at work,"              Low German, n.o.s.",,0,
Language used most often at work,              Low Saxon,,0,
Language used most often at work,              Plautdietsch,,0,
Language used most often at work,              Vlaams (Flemish),,0,
Language used most often at work,            Scandinavian languages,,0,
Language used most often at work,              Danish,,0,
Language used most often at work,              Icelandic,,0,
Language used most often at work,              Norwegian,,0,
Language used most often at work,              Swedish,,0,
Language used most often at work,"            Germanic languages, n.i.e.",,0,
Language used most often at work,          Greek,,10,
Language used most often at work,          Indo-Iranian languages,,3090,
Language used most often at work,            Indo-Aryan languages,,2955,
Language used most often at work,              Bengali,,0,
Language used most often at work,              Gujarati,,70,
Language used most often at work,              Hindi,,110,
Language used most often at work,              Kacchi,,0,
Language used most often at work,              Marathi,,0,
Language used most often at work,              Nepali,,30,
Language used most often at work,              Punjabi (Panjabi),,2505,
Language used most often at work,              Sindhi,,0,
Language used most often at work,              Sinhala (Sinhalese),,0,
Language used most often at work,              Urdu,,225,
Language used most often at work,"              Indo-Aryan languages, n.i.e.",,0,
Language used most often at work,            Iranian languages,,135,
Language used most often at work,              Kurdish,,0,
Language used most often at work,              Pashto,,10,
Language used most often at work,              Persian languages,,125,
Language used most often at work,                Dari,,30,
Language used most often at work,                Iranian Persian,,90,
Language used most often at work,"                Persian (Farsi), n.o.s.",,0,
Language used most often at work,"              Iranian languages, n.i.e.",,0,
Language used most often at work,"            Indo-Iranian languages, n.i.e.",,0,
Language used most often at work,          Italic (Romance) languages,,1285,
Language used most often at work,            Catalan,,0,
Language used most often at work,            Italian,,15,
Language used most often at work,            Portuguese,,75,
Language used most often at work,            Romanian,,40,
Language used most often at work,            Spanish,,1150,
Language used most often at work,"            Italic (Romance) languages, n.i.e.",,0,
Language used most often at work,"          Indo-European languages, n.i.e.",,10,
Language used most often at work,        Japanese,,105,
Language used most often at work,        Korean,,775,
Language used most often at work,        Mongolian,,15,
Language used most often at work,        Niger-Congo languages,,20,
Language used most often at work,          Akan (Twi),,0,
Language used most often at work,          Edo,,0,
Language used most often at work,"          Fulah (Pular, Pulaar, Fulfulde)",,0,
Language used most often at work,          Ga,,0,
Language used most often at work,          Ganda,,0,
Language used most often at work,          Igbo,,0,
Language used most often at work,          Kinyarwanda (Rwanda),,0,
Language used most often at work,          Lingala,,0,
Language used most often at work,          Rundi (Kirundi),,0,
Language used most often at work,          Shona,,0,
Language used most often at work,          Swahili,,0,
Language used most often at work,          Wolof,,0,
Language used most often at work,          Yoruba,,10,
Language used most often at work,"          Niger-Congo languages, n.i.e.",,0,
Language used most often at work,        Nilo-Saharan languages,,0,
Language used most often at work,          Dinka,,0,
Language used most often at work,"          Nilo-Saharan languages, n.i.e.",,0,
Language used most often at work,        Sign languages,,35,
Language used most often at work,          American Sign Language,,30,
Language used most often at work,          Quebec Sign Language,,0,
Language used most often at work,"          Sign languages, n.i.e.",,10,
Language used most often at work,        Sino-Tibetan languages,,4560,
Language used most often at work,          Chinese languages,,4540,
Language used most often at work,            Hakka,,0,
Language used most often at work,            Mandarin,,1910,
Language used most often at work,            Min Dong,,0,
Language used most often at work,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,0,
Language used most often at work,            Wu (Shanghainese),,0,
Language used most often at work,            Yue (Cantonese),,2595,
Language used most often at work,"            Chinese, n.o.s.",,35,
Language used most often at work,"            Chinese languages, n.i.e.",,0,
Language used most often at work,          Tibeto-Burman languages,,25,
Language used most often at work,            Burmese,,10,
Language used most often at work,            Karenic languages,,0,
Language used most often at work,              S'gaw Karen,,0,
Language used most often at work,"              Karenic languages, n.i.e.",,0,
Language used most often at work,            Tibetan,,0,
Language used most often at work,"            Tibeto-Burman languages, n.i.e.",,0,
Language used most often at work,"          Sino-Tibetan languages, n.i.e.",,0,
Language used most often at work,        Tai-Kadai languages,,50,
Language used most often at work,          Lao,,15,
Language used most often at work,          Thai,,35,
Language used most often at work,"          Tai-Kadai languages, n.i.e.",,0,
Language used most often at work,        Turkic languages,,55,
Language used most often at work,          Azerbaijani,,0,
Language used most often at work,          Turkish,,55,
Language used most often at work,          Uyghur,,0,
Language used most often at work,          Uzbek,,0,
Language used most often at work,"          Turkic languages, n.i.e.",,0,
Language used most often at work,        Uralic languages,,35,
Language used most often at work,          Estonian,,0,
Language used most often at work,          Finnish,,0,
Language used most often at work,          Hungarian,,35,
Language used most often at work,"        Other languages, n.i.e.",,0,
Language used most often at work,  Multiple responses,,6320,
Language used most often at work,    English and French,,805,
Language used most often at work,    English and non-official language(s),,5280,
Language used most often at work,    French and non-official language(s),,30,
Language used most often at work,"    English, French and non-official language(s)",,75,
Language used most often at work,    Multiple non-official languages,,130,
